source_entity,target_entity,relationship_description,verbs
MUSE,JOVE,The Muse is referred to as the daughter of Jove,be
MUSE,JOVE,The Muse is referred to as the daughter of Jove,refer
ULYSSES,TROY,Ulysses sacked the famous town of Troy,sack
ULYSSES,HYPERION,"Ulysses's men perished after eating Hyperion's cattle, which prevented their return home",perish
ULYSSES,HYPERION,"Ulysses's men perished after eating Hyperion's cattle, which prevented their return home",eat
ULYSSES,HYPERION,"Ulysses's men perished after eating Hyperion's cattle, which prevented their return home",prevent
ULYSSES,HYPERION,"Ulysses's men perished after eating Hyperion's cattle, which prevented their return home",return
HYPERION,ULYSSES,Hyperion prevented Ulysses's men from reaching home after they ate his cattle,prevent
HYPERION,ULYSSES,Hyperion prevented Ulysses's men from reaching home after they ate his cattle,reach
HYPERION,ULYSSES,Hyperion prevented Ulysses's men from reaching home after they ate his cattle,eat
ULYSSES,CALYPSO,Calypso detained Ulysses in a cave and wanted to marry him,detain
ULYSSES,CALYPSO,Calypso detained Ulysses in a cave and wanted to marry him,want
ULYSSES,CALYPSO,Calypso detained Ulysses in a cave and wanted to marry him,marry
CALYPSO,ULYSSES,Calypso kept Ulysses from returning to his wife and country,keep
CALYPSO,ULYSSES,Calypso kept Ulysses from returning to his wife and country,return
NEPTUNE,ITHACA,Neptune prevented the hero from reaching his homeland of Ithaca,prevent
NEPTUNE,ITHACA,Neptune prevented the hero from reaching his homeland of Ithaca,reach
NEPTUNE,ETHIOPIANS,Neptune went to the Ethiopians to accept a hecatomb and enjoy their festival,go
NEPTUNE,ETHIOPIANS,Neptune went to the Ethiopians to accept a hecatomb and enjoy their festival,accept
NEPTUNE,ETHIOPIANS,Neptune went to the Ethiopians to accept a hecatomb and enjoy their festival,enjoy
OLYMPIAN JOVE,AEGISTHUS,Jove was thinking of Aegisthus when speaking to the other gods about human folly,think
OLYMPIAN JOVE,AEGISTHUS,Jove was thinking of Aegisthus when speaking to the other gods about human folly,speak
AEGISTHUS,AGAMEMNON,Aegisthus killed Agamemnon after making love to his wife,kill
AEGISTHUS,AGAMEMNON,Aegisthus killed Agamemnon after making love to his wife,make
ORESTES,AEGISTHUS,Orestes killed Aegisthus in revenge,kill
ORESTES,AGAMEMNON,Orestes is the son of Agamemnon,be
AEGISTHUS,AGAMEMNON,Aegisthus made love to Agamemnon's wife unrighteously,make
MERCURY,AEGISTHUS,Mercury was sent to warn Aegisthus not to kill Agamemnon or make love to his wife,send
MERCURY,AEGISTHUS,Mercury was sent to warn Aegisthus not to kill Agamemnon or make love to his wife,warn
MERCURY,AEGISTHUS,Mercury was sent to warn Aegisthus not to kill Agamemnon or make love to his wife,kill
MERCURY,AEGISTHUS,Mercury was sent to warn Aegisthus not to kill Agamemnon or make love to his wife,make
ORESTES,AEGISTHUS,Orestes would take revenge on Aegisthus when he grew up,take
ORESTES,AEGISTHUS,Orestes would take revenge on Aegisthus when he grew up,grow
MINERVA,SATURN,Minerva is the daughter of Saturn,be
MINERVA,ULYSSES,Minerva's heart bleeds for Ulysses and his sufferings,bleed
ATLAS'S DAUGHTER,ATLAS,She is the daughter of the magician Atlas,be
ATLAS'S DAUGHTER,ULYSSES,Atlas's daughter has captured Ulysses and tries to make him forget his home through blandishments,capture
