record_type,entity_name,entity_type,entity_description
entity,MUSE,GOD,Divine being invoked to tell the story of the ingenious hero who travelled far and wide after sacking Troy
entity,TROY,LOCATION,Famous town that was sacked by the ingenious hero
entity,HYPERION,GOD,"Sun-god whose cattle were eaten by the hero's men, leading to their destruction"
entity,JOVE,GOD,"Father deity, referred to as the father of the Muse"
entity,ULYSSES,PERSON,"Ingenious hero who travelled far and wide after sacking Troy, trying to return home to his wife and country"
entity,CALYPSO,GOD,Goddess who detained Ulysses in a large cave and wanted to marry him
entity,ITHACA,LOCATION,The homeland where the hero is destined to return after years of wandering
entity,NEPTUNE,GOD,"God who persecuted the hero without ceasing and would not let him get home, later went to the Ethiopians for a festival"
entity,ETHIOPIANS,PERSON,"People at the world's end who lie in two halves, one looking West and the other East, who received Neptune for a festival"
entity,OLYMPIAN JOVE,GOD,"Sire of gods and men who spoke first when the gods met in his house, also called the father of gods"
entity,AEGISTHUS,PERSON,"Man who made love to Agamemnon's wife unrighteously and killed Agamemnon, later killed by Orestes"
entity,AGAMEMNON,PERSON,"Man who was killed by Aegisthus, father of Orestes"
entity,ORESTES,PERSON,Son of Agamemnon who killed Aegisthus in revenge for his father's murder
entity,MERCURY,GOD,Divine messenger sent by Jove to warn Aegisthus not to kill Agamemnon or make love to his wife
entity,ORESTES,PERSON,Son who would take revenge on Aegisthus when he grew up and wanted to return home
entity,MINERVA,GOD,"Goddess who speaks to her father Jove about Ulysses' sufferings, daughter of Saturn"
entity,SATURN,GOD,"Father of Minerva, also called King of kings"
entity,AEGISTHUS,PERSON,Man who was warned by Mercury but didn't listen and paid for everything in full
entity,ULYSSES,PERSON,"Suffering hero trapped on a lonely sea-girt island, far from friends, whom Minerva's heart bleeds for"
entity,ATLAS,GOD,Magician who looks after the bottom of the ocean and carries the great columns that keep heaven and earth asunder
entity,ATLAS'S DAUGHTER,GOD,"Goddess who lives on the forested island in the middle of the sea and holds Ulysses captive, trying to make him forget his home through blandishments"
entity,ULYSSES,PERSON,"Capable man who made burnt sacrifices to the gods before Troy, now tired of life and longing to see the smoke of his own chimneys, being tormented by Neptune"
entity,TROY,LOCATION,Place where Ulysses made many burnt sacrifices to propitiate the gods
entity,JOVE,GOD,"Father god who speaks with Minerva about Ulysses, acknowledges Ulysses as the most capable man on earth and most liberal in offerings to immortal gods"
entity,NEPTUNE,GOD,"God who is still furious with Ulysses for blinding Polyphemus, torments Ulysses by preventing him from getting home but will not kill him outright"
entity,POLYPHEMUS,CREATURE,"King of the Cyclopes who had his eye blinded by Ulysses, son of Neptune and the nymph Thoosa"
entity,CYCLOPES,CREATURE,Race of beings ruled by Polyphemus as their king
entity,THOOSA,GOD,Nymph who is the mother of Polyphemus and daughter of the sea-king Phorcys
entity,PHORCYS,GOD,Sea-king who is the father of Thoosa and grandfather of Polyphemus
entity,MINERVA,GOD,Goddess who speaks with her father Jove about helping Ulysses return home
entity,MINERVA,GOD,"Goddess who speaks to her father Saturn, plans to help Ulysses by sending Mercury to Calypso and going to Ithaca to help Telemachus, wears golden sandals and carries a bronze-shod spear"
entity,SATURN,GOD,"Father of Minerva, referred to as King of kings"
entity,ULYSSES,PERSON,"Hero who should get home according to the gods' decision, father of Telemachus"
entity,MERCURY,GOD,Divine messenger who will be sent to the Ogygian island to tell Calypso about the gods' decision regarding Ulysses
entity,OGYGIAN ISLAND,LOCATION,Island where Calypso resides and where Mercury will be sent
entity,CALYPSO,GOD,Goddess who will be told by Mercury that Ulysses is to return home
entity,ITHACA,LOCATION,"Destination where Minerva will go to help Telemachus, homeland of Ulysses"
entity,TELEMACHUS,PERSON,Son of Ulysses whom Minerva will embolden to call the Achaeans in assembly and speak to his mother's suitors
entity,ACHAEANS,PERSON,People whom Telemachus will call in assembly
entity,PENELOPE,PERSON,"Mother of Telemachus and wife of Ulysses, whose suitors are eating up sheep and oxen"
entity,SPARTA,LOCATION,Place where Minerva will conduct Telemachus to seek news of his father
entity,PYLOS,LOCATION,Place where Minerva will conduct Telemachus to seek news of his father
entity,GOLDEN SANDALS,WEAPON_OR_TOOL,Glittering imperishable sandals worn by Minerva that allow her to fly like wind over land or sea
entity,BRONZE-SHOD SPEAR,WEAPON_OR_TOOL,"Redoubtable, stout, sturdy and strong spear wielded by Minerva to quell ranks of heroes who displease her"
entity,OLYMPUS,LOCATION,Mountain with topmost summits from which Minerva darted down to Ithaca
entity,ITHACA,LOCATION,Location where Minerva arrives at the gateway of Ulysses' house
entity,ULYSSES,PERSON,"Owner of the house where the suitors are gathered, brave father of Telemachus who is away"
entity,MINERVA,GOD,"Goddess who disguises herself as Mentes, chief of the Taphians, and holds a bronze spear"
entity,MENTES,PERSON,Chief of the Taphians whom Minerva disguises herself as when visiting
entity,TAPHIANS,PERSON,"People whose chief is Mentes, the identity Minerva assumes"
entity,BRONZE SPEAR,WEAPON_OR_TOOL,Spear held by Minerva in her disguise as Mentes
entity,SUITORS,PERSON,"Lordly men seated on hides of oxen they killed and eaten, playing draughts in front of Ulysses' house"
entity,TELEMACHUS,PERSON,"Son of Ulysses who sits moodily among the suitors, thinking about his brave father, and welcomes the disguised Minerva"
entity,MINERVA,GOD,Goddess who is welcomed as a guest and follows Telemachus into the house where she is given a decorated seat
entity,TELEMACHUS,PERSON,"Host who welcomes the disguised Minerva, leads her into the house, takes her spear, and provides her with a seat and hospitality"
entity,SPEAR,WEAPON_OR_TOOL,Weapon carried by Minerva that Telemachus takes and places in the spear-stand
entity,SPEAR-STAND,WEAPON_OR_TOOL,Stand against a strong bearing-post where Telemachus places Minerva's spear along with his father's many spears
entity,ULYSSES,PERSON,Unhappy father of Telemachus whose many spears are kept in the spear-stand
entity,SUITORS,PERSON,Noisy and insolent group that Telemachus wants to keep Minerva away from while eating
entity,MAID SERVANT,PERSON,Female servant who brings water in a golden ewer and pours it into a silver basin for hand washing
entity,GOLDEN EWER,WEAPON_OR_TOOL,Beautiful golden vessel used by the maid servant to bring water
entity,SILVER BASIN,WEAPON_OR_TOOL,Silver container into which water is poured for hand washing
entity,UPPER SERVANT,PERSON,Higher-ranking servant who brings bread and offers good things from the house
entity,CARVER,PERSON,Servant who fetches plates of various meats and sets golden cups
entity,SUITORS,PERSON,"Group of men who take their places on benches and seats, eat and drink, then want music and dancing as embellishments of their banquet"
entity,MANSERVANT,PERSON,Male servant who brings wine and pours it out for the guests
entity,MEN SERVANTS,PERSON,Male servants who pour water over the suitors' hands
entity,MAIDS,PERSON,Female servants who go round with bread-baskets
entity,PAGES,PERSON,Young servants who fill the mixing-bowls with wine and water
entity,PHEMIUS,PERSON,"Singer who is compelled by the suitors to sing to them, plays the lyre"
entity,LYRE,WEAPON_OR_TOOL,Musical instrument brought by a servant to Phemius and used for singing
entity,TELEMACHUS,PERSON,Young man who speaks low to Minerva about the singing and the cost of the banquet
entity,MINERVA,GOD,Goddess disguised as a guest who listens to Telemachus speak about the situation
entity,MIXING-BOWLS,WEAPON_OR_TOOL,Containers filled with wine and water by the pages
entity,BREAD-BASKETS,WEAPON_OR_TOOL,Containers carried by maids to distribute bread
entity,TELEMACHUS,PERSON,Young man speaking about his father's fate and questioning the disguised Minerva about her identity and origins
entity,ITHACA,LOCATION,"Homeland where Telemachus hopes his father will return, destination where the visitor arrived"
entity,ULYSSES,PERSON,Telemachus's father who has fallen on an ill fate and whose bones may be rotting in wilderness or grinding to powder in surf
entity,MINERVA,GOD,Goddess disguised as Mentes who answers Telemachus's questions about her identity
entity,MENTES,PERSON,"Identity assumed by Minerva, son of Anchialus and King of the Taphians"
entity,ANCHIALUS,PERSON,"Father of Mentes, as claimed by the disguised Minerva"
entity,TAPHIANS,PERSON,"People ruled by Mentes as their king, according to Minerva's disguise"
entity,TEMESA,LOCATION,Destination where Mentes claims to be bound on his voyage
entity,TEMESA,LOCATION,Destination where Mentes is bound with a cargo of iron to trade for copper
entity,RHEITHRON,LOCATION,"Harbour where Mentes' ship lies, located off the open country away from the town"
entity,NERITUM,LOCATION,Wooded mountain under which the harbour Rheithron is situated
entity,LAERTES,PERSON,"Old man who was friends with Mentes' father, lives by himself in the country with an old woman to care for him, works in his vineyard"
entity,MENTES,PERSON,"Trader who speaks to Telemachus, claims friendship between their fathers, brings news about Ulysses"
entity,ULYSSES,PERSON,"Telemachus' father who is likely on a sea-girt island or prisoner among savages, described as a man of great resource"
entity,OLD WOMAN,PERSON,Caretaker who looks after Laertes and prepares his meals when he returns from his vineyard
entity,SAVAGES,PERSON,People who may be detaining Ulysses against his will as a prisoner
entity,SHIP,WEAPON_OR_TOOL,"Vessel belonging to Mentes that lies in the harbour Rheithron, used for trading cargo"
entity,VINEYARD,LOCATION,Agricultural area where Laertes works and tends to his vines
entity,ULYSSES,PERSON,"Man of great resource who could escape even from iron chains, close friend of Mentes before sailing to Troy, father of Telemachus and most ill-starred man under heaven"
entity,TELEMACHUS,PERSON,"Son who resembles Ulysses about the head and eyes, told by his mother he is Ulysses' son but wishes for a father who grew old on his own estates"
entity,TROY,LOCATION,Destination where Ulysses sailed along with the flower of all the Argives
entity,ARGIVES,PERSON,"Greek warriors, the flower of whom went to Troy along with Ulysses"
entity,MENTES,PERSON,"Close friend of Ulysses before he sailed to Troy, notices Telemachus's resemblance to his father"
