record_type,source_entity,target_entity,relationship_description,relationship_strength
relationship,MUSE,JOVE,The Muse is referred to as the daughter of Jove,8
relationship,ULYSSES,TROY,Ulysses sacked the famous town of Troy,9
relationship,ULYSSES,HYPERION,"Ulysses's men perished after eating Hyperion's cattle, which prevented their return home",7
relationship,HYPERION,ULYSSES,Hyperion prevented Ulysses's men from reaching home after they ate his cattle,8
relationship,ULYSSES,CALYPSO,Calypso detained Ulysses in a cave and wanted to marry him,9
relationship,CALYPSO,ULYSSES,Calypso kept Ulysses from returning to his wife and country,9
relationship,NEPTUNE,ITHACA,Neptune prevented the hero from reaching his homeland of Ithaca,8
relationship,NEPTUNE,ETHIOPIANS,Neptune went to the Ethiopians to accept a hecatomb and enjoy their festival,7
relationship,OLYMPIAN JOVE,AEGISTHUS,Jove was thinking of Aegisthus when speaking to the other gods about human folly,6
relationship,AEGISTHUS,AGAMEMNON,Aegisthus killed Agamemnon after making love to his wife,9
relationship,ORESTES,AEGISTHUS,Orestes killed Aegisthus in revenge,9
relationship,ORESTES,AGAMEMNON,Orestes is the son of Agamemnon,9
relationship,AEGISTHUS,AGAMEMNON,Aegisthus made love to Agamemnon's wife unrighteously,8
relationship,MERCURY,AEGISTHUS,Mercury was sent to warn Aegisthus not to kill Agamemnon or make love to his wife,8
relationship,ORESTES,AEGISTHUS,Orestes would take revenge on Aegisthus when he grew up,9
relationship,MINERVA,SATURN,Minerva is the daughter of Saturn,9
relationship,MINERVA,ULYSSES,Minerva's heart bleeds for Ulysses and his sufferings,8
relationship,ATLAS'S DAUGHTER,ATLAS,She is the daughter of the magician Atlas,9
relationship,ATLAS'S DAUGHTER,ULYSSES,Atlas's daughter has captured Ulysses and tries to make him forget his home through blandishments,9
relationship,ATLAS,ATLAS'S DAUGHTER,Atlas is the father of the goddess who holds Ulysses captive,9
relationship,ULYSSES,TROY,Ulysses made many burnt sacrifices to the gods when he was before Troy,8
relationship,ULYSSES,JOVE,"Ulysses propitiated Jove with burnt sacrifices, and Jove acknowledges him as the most capable man on earth",8
relationship,NEPTUNE,ULYSSES,Neptune is furious with Ulysses for blinding Polyphemus and torments him by preventing him from getting home,9
relationship,ULYSSES,POLYPHEMUS,"Ulysses blinded an eye of Polyphemus, causing Neptune's wrath",9
relationship,POLYPHEMUS,CYCLOPES,Polyphemus is the king of the Cyclopes,9
relationship,NEPTUNE,POLYPHEMUS,Neptune is the father of Polyphemus,9
relationship,THOOSA,POLYPHEMUS,Thoosa is the mother of Polyphemus,9
relationship,PHORCYS,THOOSA,Phorcys is the father of Thoosa,9
relationship,MINERVA,JOVE,Minerva calls Jove father and discusses helping Ulysses with him,9
relationship,JOVE,MINERVA,Jove is the father of Minerva,9
relationship,MINERVA,SATURN,Minerva is the daughter of Saturn and addresses him as father,9
relationship,MINERVA,MERCURY,Minerva plans to send Mercury to the Ogygian island with a message for Calypso,8
relationship,MERCURY,CALYPSO,Mercury will be sent to tell Calypso that the gods have decided Ulysses should return,8
relationship,CALYPSO,OGYGIAN ISLAND,Calypso resides on the Ogygian island,9
relationship,ULYSSES,TELEMACHUS,Ulysses is the father of Telemachus,9
relationship,MINERVA,TELEMACHUS,Minerva will go to embolden Telemachus and help him,8
relationship,TELEMACHUS,PENELOPE,Telemachus is the son of Penelope,9
relationship,TELEMACHUS,ACHAEANS,Telemachus will call the Achaeans in assembly,7
relationship,MINERVA,ITHACA,Minerva will go to Ithaca to help Telemachus,8
relationship,MINERVA,SPARTA,Minerva will conduct Telemachus to Sparta to seek news of his father,7
relationship,MINERVA,PYLOS,Minerva will conduct Telemachus to Pylos to seek news of his father,7
relationship,MINERVA,GOLDEN SANDALS,Minerva wears the golden sandals that allow her to fly,9
relationship,MINERVA,BRONZE-SHOD SPEAR,Minerva grasps and wields the bronze-shod spear to quell heroes,9
relationship,MINERVA,OLYMPUS,Minerva darted down from the topmost summits of Olympus,8
relationship,MINERVA,ITHACA,Minerva arrives in Ithaca at the gateway of Ulysses' house,8
relationship,MINERVA,ULYSSES,Minerva visits Ulysses' house while he is away,7
relationship,MINERVA,MENTES,Minerva disguises herself as Mentes,9
relationship,MENTES,TAPHIANS,Mentes is the chief of the Taphians,9
relationship,MINERVA,BRONZE SPEAR,Minerva holds a bronze spear in her hand while disguised,8
relationship,SUITORS,ULYSSES,"The suitors are gathered at Ulysses' house, eating his oxen and playing draughts",8
